player_id,player_name,team_id,team,position,height(in),weight(lbs),jersey_number,wingspan
201177,josh mcroberts,1610612748,MIA,PF,82,240,4,85.0
201574,jason thompson,1610612744,GSW,C,83,250,1,
201574,jason thompson,1610612761,TOR,C,83,250,1,
203143,pablo prigioni,1610612746,LAC,PG,75,185,9,
1889,andre miller,1610612750,MIN,PG,74,200,24,
1889,andre miller,1610612759,SAS,PG,74,200,24,
201228,cj watson,1610612753,ORL,PG,74,175,32,78.0
1626149,montrezl harrell,1610612745,HOU,PF,80,230,35,88.25
2760,anderson varejao,1610612739,CLE,C,83,260,17,
2760,anderson varejao,1610612744,GSW,C,83,260,18,
2550,kirk hinrich,1610612741,CHI,PG,76,190,12,78.0
2550,kirk hinrich,1610612737,ATL,PG,76,190,12,78.0
203492,ray mccallum,1610612759,SAS,PG,74,191,3,75.25
203492,ray mccallum,1610612763,MEM,PG,74,191,5,75.25
204028,tarik black,1610612747,LAL,C,83,250,28,
203940,adreian payne,1610612750,MIN,PF,81,215,33,88.0
202349,greivis vasquez,1610612749,MIL,PG,78,211,21,79.0
202706,jordan hamilton,1610612740,NOP,SF,79,220,25,81.5
1626257,salah mejri,1610612742,DAL,C,86,245,50,
2446,rasual butler,1610612759,SAS,SF,79,205,18,84.0
201149,joakim noah,1610612741,CHI,C,83,232,13,85.25
200797,ryan hollins,1610612764,WAS,C,84,240,15,
200797,ryan hollins,1610612763,MEM,C,84,240,20,
2555,nick collison,1610612760,OKC,PF,82,255,4,85.5
203493,reggie bullock,1610612765,DET,SF,79,200,25,80.75
708,kevin garnett,1610612750,MIN,PF,84,253,21,
203099,jared cunningham,1610612739,CLE,SG,76,195,9,78.5
203099,jared cunningham,1610612749,MIL,SG,76,195,9,78.5
203949,james michael mcadoo,1610612744,GSW,PF,81,230,20,
1626148,anthony brown,1610612747,LAL,SF,79,215,3,83.0
1626191,chris mccullough,1610612751,BRK,PF,83,200,1,87.25
203088,kendall marshall,1610612755,PHI,PG,76,195,5,77.5
200770,jordan farmar,1610612763,MEM,PG,74,180,4,75.0
201603,sonny weems,1610612756,PHO,SG,78,203,10,82.0
201603,sonny weems,1610612755,PHI,SF,78,203,9,82.0
1626245,cristiano felicio,1610612741,CHI,C,82,275,6,
2365,chris andersen,1610612748,MIA,C,82,228,11,
2365,chris andersen,1610612763,MEM,C,82,228,7,
201946,tyler hansbrough,1610612766,CHA,PF,81,250,50,83.5
1626153,delon wright,1610612761,TOR,PG,77,180,55,79.5
203895,jordan mcrae,1610612756,PHO,PG,78,185,52,84.5
203895,jordan mcrae,1610612739,CLE,PG,78,185,12,84.5
1626154,rj hunter,1610612738,BOS,SG,77,185,28,82.5
203508,sergey karasev,1610612751,BRK,SF,79,197,10,
2570,kendrick perkins,1610612740,NOP,C,82,270,5,
203156,henry sims,1610612751,BRK,C,82,248,14,88.0
203077,michael kiddgilchrist,1610612766,CHA,SF,79,232,14,84.0
203909,kj mcdaniels,1610612745,HOU,SF,78,198,32,83.25
203135,robert sacre,1610612747,LAL,C,84,260,50,
203934,lamar patterson,1610612737,ATL,SG,77,212,13,83.0
201148,brandan wright,1610612763,MEM,PF,82,210,34,87.75
2400,drew gooden,1610612764,WAS,PF,82,250,90,84.5
204098,xavier munford,1610612763,MEM,SG,74,180,14,
1626214,bryce dejeanjones,1610612740,NOP,SG,78,210,31,
203515,phil pressey,1610612755,PHI,PG,71,177,26,74.25
203515,phil pressey,1610612756,PHO,PG,71,177,25,74.25
2588,matt bonner,1610612759,SAS,C,82,235,15,80.75
1626253,axel toupane,1610612743,DEN,SF,78,200,6,
204014,damjan rudez,1610612750,MIN,SF,82,200,10,
1626179,terry rozier,1610612738,BOS,PG,74,190,12,80.25
202379,jeremy evans,1610612742,DAL,SF,81,194,21,
1882,elton brand,1610612755,PHI,C,80,275,42,
203912,cj wilcox,1610612746,LAC,SG,77,195,30,81.75
203123,kostas papanikolaou,1610612743,DEN,SF,80,225,16,
203100,tony wroten,1610612755,PHI,PG,78,203,1,81.0
101187,alan anderson,1610612764,WAS,SG,78,220,6,81.5
203512,lucas nogueira,1610612761,TOR,C,83,215,92,
2406,caron butler,1610612758,SAC,SF,79,228,31,83.5
204067,jarell eddie,1610612764,WAS,SF,79,220,8,
2034,mike miller,1610612743,DEN,SF,80,210,3,
201971,dejuan blair,1610612764,WAS,C,79,270,45,86.0
1626174,christian wood,1610612755,PHI,PF,83,220,35,87.25
203906,devyn marble,1610612753,ORL,SG,78,200,11,81.0
2617,udonis haslem,1610612748,MIA,PF,80,235,40,83.0
203915,spencer dinwiddie,1610612765,DET,PG,78,200,8,80.25
201593,nikola pekovic,1610612750,MIN,C,83,290,14,
200811,lou amundson,1610612752,NYK,PF,81,225,17,83.5
203142,chris copeland,1610612749,MIL,PF,80,225,9,
2549,chris kaman,1610612757,POR,C,84,265,35,83.75
202962,greg smith,1610612750,MIN,PF,82,250,4,
1626192,pat connaughton,1610612757,POR,SG,77,206,5,80.0
203996,damien inglis,1610612749,MIL,SF,79,233,17,
202407,elijah millsap,1610612762,UTA,SG,78,215,13,
203946,cameron bairstow,1610612741,CHI,C,82,252,41,84.75
203921,cleanthony early,1610612752,NYK,SF,80,216,11,82.75
1627362,briante weber,1610612763,MEM,PG,71,165,2,
1627362,briante weber,1610612748,MIA,PG,71,165,12,
201965,jeff ayres,1610612746,LAC,C,81,250,19,85.0
1626210,alan williams,1610612756,PHO,PF,80,260,15,85.75
203923,james young,1610612738,BOS,SG,79,215,13,84.0
203461,anthony bennett,1610612761,TOR,PF,79,239,15,
203956,mitch mcgary,1610612760,OKC,PF,82,255,33,
203111,orlando johnson,1610612756,PHO,SG,77,220,0,83.25
203111,orlando johnson,1610612740,NOP,SG,77,220,0,83.25
204002,edy tavares,1610612737,ATL,C,87,260,22,
202353,tibor pleiss,1610612762,UTA,C,87,256,21,
200779,steve novak,1610612760,OKC,PF,82,235,6,81.5
200779,steve novak,1610612749,MIL,PF,82,235,6,81.5
201619,sasha kaun,1610612739,CLE,C,83,260,14,88.0
203893,russ smith,1610612763,MEM,PG,72,165,2,75.5
202726,andrew goudelock,1610612745,HOU,PG,75,200,0,76.25
203268,jorge gutierrez,1610612766,CHA,PG,75,195,12,
203928,cory jefferson,1610612756,PHO,PF,81,218,55,84.5
201975,jodie meeks,1610612765,DET,SG,76,208,20,76.5
1627293,alex stepheson,1610612746,LAC,PF,82,225,35,
1627293,alex stepheson,1610612763,MEM,PF,82,225,35,
1626175,jordan mickey,1610612738,BOS,PF,80,235,55,87.25
203485,lorenzo brown,1610612756,PHO,PG,77,189,41,79.0
201202,joel anthony,1610612765,DET,C,81,245,50,
1626151,aaron harrison,1610612766,CHA,SG,78,210,9,80.25
203962,josh huestis,1610612760,OKC,PF,79,230,34,
1626242,luis montero,1610612757,POR,SG,79,180,44,
203475,erick green,1610612743,DEN,PG,75,178,11,77.75
203475,erick green,1610612762,UTA,PG,75,178,18,77.75
202712,justin harper,1610612765,DET,PF,82,225,32,83.75
2563,dahntay jones,1610612739,CLE,SF,78,225,30,81.0
203963,shayne whittington,1610612754,IND,PF,83,237,42,
1626146,cliff alexander,1610612757,POR,PF,81,240,34,87.5
1626172,kevon looney,1610612744,GSW,PF,81,220,36,87.5
202690,jimmer fredette,1610612740,NOP,SG,74,195,32,
202690,jimmer fredette,1610612752,NYK,SG,74,195,32,
1737,nazr mohammed,1610612760,OKC,C,82,250,13,
203961,eric moreland,1610612758,SAC,PF,82,218,25,
202343,elliot williams,1610612763,MEM,PG,77,180,25,
203955,bryce cotton,1610612756,PHO,PG,73,165,8,
203955,bryce cotton,1610612763,MEM,PG,73,165,8,
203919,jordan adams,1610612763,MEM,SG,76,220,3,82.0
203950,jarnell stokes,1610612763,MEM,C,80,260,1,85.25
203950,jarnell stokes,1610612748,MIA,C,80,260,12,85.25
203648,thanasis antetokounmpo,1610612752,NYK,SF,79,215,43,84.0
203951,keith appling,1610612753,ORL,PG,73,185,15,
1626262,coty clarke,1610612738,BOS,SF,79,225,63,
1626251,duje dukan,1610612758,SAC,SF,82,218,26,
1626183,branden dawson,1610612746,LAC,PF,78,225,22,83.0
1626176,rakeem christmas,1610612754,IND,PF,81,250,25,89.25
101236,chuck hayes,1610612745,HOU,C,78,250,44,
203998,bruno caboclo,1610612761,TOR,SF,81,205,20,
203925,joe harris,1610612739,CLE,SG,78,215,12,78.0
1626155,sam dekker,1610612745,HOU,PF,81,229,7,83.5
1626266,jj obrien,1610612762,UTA,SF,84,228,22,
101126,nate robinson,1610612740,NOP,PG,63,180,2,73.0
